"Date","Price","Open","High","Low","Change %"
"May 07, 2021","14,285.0","14,272.5","14,312.5","14,247.0","-0.21%"
"May 06, 2021","14,315.0","14,415.0","14,425.0","14,313.0","-0.80%"
"May 05, 2021","14,430.0","14,440.0","14,450.0","14,426.0","0.03%"
"May 04, 2021","14,425.0","14,460.0","14,465.0","14,412.5","-0.14%"
"May 03, 2021","14,445.0","14,450.0","14,480.0","14,447.5","0.03%"
"Apr 30, 2021","14,440.0","14,430.0","14,507.5","14,424.5","-0.03%"
"Apr 29, 2021","14,445.0","14,430.0","14,475.0","14,425.0","-0.34%"
"Apr 28, 2021","14,495.0","14,490.0","14,525.0","14,487.5","0.10%"
"Apr 27, 2021","14,480.0","14,490.0","14,508.5","14,477.0","0.00%"
"Apr 26, 2021","14,480.0","14,515.0","14,515.0","14,475.0","-0.28%"
"Apr 23, 2021","14,520.0","14,525.0","14,560.0","14,520.0","0.03%"
"Apr 22, 2021","14,515.0","14,515.0","14,539.0","14,510.0","-0.07%"
"Apr 21, 2021","14,525.0","14,525.0","14,551.0","14,510.0","0.21%"
"Apr 20, 2021","14,495.0","14,515.0","14,535.0","14,482.5","-0.34%"
"Apr 19, 2021","14,545.0","14,537.5","14,570.0","14,525.0","-0.10%"
"Apr 16, 2021","14,560.0","14,620.0","14,630.0","14,550.0","-0.27%"
"Apr 15, 2021","14,600.0","14,610.0","14,634.0","14,600.0","0.00%"
"Apr 14, 2021","14,600.0","14,622.5","14,622.5","14,592.5","0.00%"
"Apr 13, 2021","14,600.0","14,610.0","14,627.5","14,595.0","0.07%"
"Apr 12, 2021","14,590.0","14,575.0","14,630.0","14,575.0","0.21%"
"Apr 09, 2021","14,560.0","14,550.0","14,587.5","14,540.0","0.21%"
"Apr 08, 2021","14,530.0","14,510.0","14,578.5","14,510.0","0.28%"
"Apr 07, 2021","14,490.0","14,470.0","14,517.5","14,470.0","-0.07%"
"Apr 06, 2021","14,500.0","14,490.0","14,525.0","14,490.0","-0.07%"
"Apr 05, 2021","14,510.0","14,520.0","14,535.0","14,510.0","-0.07%"
"Apr 01, 2021","14,520.0","14,530.0","14,594.5","14,525.0","0.00%"
"Mar 31, 2021","14,520.0","14,480.0","14,582.0","14,480.0","0.35%"
"Mar 30, 2021","14,470.0","14,450.0","14,502.5","14,450.0","0.21%"
"Mar 29, 2021","14,440.0","14,420.0","14,455.0","14,420.0","0.21%"
"Mar 26, 2021","14,410.0","14,445.0","14,458.0","14,417.5","-0.07%"
"Mar 25, 2021","14,420.0","14,435.0","14,465.0","14,425.0","0.00%"
"Mar 24, 2021","14,420.0","14,422.5","14,460.0","14,410.0","0.21%"
"Mar 23, 2021","14,390.0","14,400.0","14,425.0","14,390.0","-0.07%"
"Mar 22, 2021","14,400.0","14,415.0","14,452.5","14,397.0","0.00%"
"Mar 19, 2021","14,400.0","14,410.0","14,475.0","14,400.0","0.07%"
"Mar 18, 2021","14,390.0","14,385.0","14,415.0","14,375.0","-0.24%"
"Mar 17, 2021","14,425.0","14,430.0","14,465.0","14,415.0","0.17%"
"Mar 16, 2021","14,400.0","14,402.5","14,422.5","14,395.0","0.03%"
"Mar 15, 2021","14,395.0","14,400.0","14,422.5","14,390.0","0.10%"
"Mar 12, 2021","14,380.0","14,355.0","14,396.0","14,325.0","-0.10%"
"Mar 10, 2021","14,395.0","14,390.0","14,425.0","14,390.0","0.03%"
"Mar 09, 2021","14,390.0","14,415.0","14,475.0","14,395.0","0.28%"
"Mar 08, 2021","14,350.0","14,350.0","14,382.5","14,335.0","0.42%"
"Mar 05, 2021","14,290.0","14,315.0","14,360.0","14,280.0","0.21%"
"Mar 04, 2021","14,260.0","14,265.0","14,305.0","14,250.0","0.14%"
"Mar 03, 2021","14,240.0","14,325.0","14,330.5","14,240.0","-0.42%"
"Mar 02, 2021","14,300.0","14,275.0","14,330.0","14,265.0","0.35%"
"Mar 01, 2021","14,250.0","14,250.0","14,307.5","14,240.0","0.07%"
"Feb 26, 2021","14,240.0","14,105.0","14,275.0","14,105.0","1.14%"
"Feb 25, 2021","14,080.0","14,085.0","14,110.0","14,079.5","0.00%"
"Feb 24, 2021","14,080.0","14,072.5","14,092.5","14,065.0","-0.07%"
"Feb 23, 2021","14,090.0","14,110.0","14,130.0","14,092.5","-0.14%"
"Feb 22, 2021","14,110.0","14,070.0","14,130.0","14,070.0","0.36%"
"Feb 19, 2021","14,060.0","14,050.0","14,100.5","14,050.0","0.36%"
"Feb 18, 2021","14,010.0","14,020.0","14,061.0","14,020.0","0.00%"
"Feb 17, 2021","14,010.0","13,955.0","14,046.0","13,955.0","0.65%"
"Feb 16, 2021","13,920.0","13,895.0","13,937.5","13,866.0","0.07%"
"Feb 15, 2021","13,910.0","13,972.5","13,972.5","13,896.5","-0.43%"
"Feb 11, 2021","13,970.0","13,985.0","14,002.0","13,965.0","-0.07%"
"Feb 10, 2021","13,980.0","14,000.0","14,000.0","13,972.0","-0.07%"
"Feb 09, 2021","13,990.0","14,007.5","14,011.0","13,988.5","-0.04%"
"Feb 08, 2021","13,995.0","14,020.0","14,023.5","13,987.5","-0.18%"
"Feb 05, 2021","14,020.0","14,020.0","14,057.5","14,020.0","0.07%"
"Feb 04, 2021","14,010.0","14,007.5","14,040.0","14,002.5","0.07%"
"Feb 03, 2021","14,000.0","14,015.0","14,020.0","13,992.5","-0.14%"
"Feb 02, 2021","14,020.0","14,035.0","14,049.0","14,020.0","0.07%"
"Feb 01, 2021","14,010.0","14,035.0","14,052.5","14,015.0","-0.07%"
"Jan 29, 2021","14,020.0","14,072.5","14,085.0","14,030.0","-0.21%"
"Jan 28, 2021","14,050.0","14,065.0","14,126.5","14,055.0","0.11%"
"Jan 27, 2021","14,035.0","14,050.0","14,082.0","14,042.5","-0.04%"
"Jan 26, 2021","14,040.0","14,045.0","14,098.5","14,045.0","0.21%"
"Jan 25, 2021","14,010.0","14,055.0","14,083.0","14,020.0","-0.07%"
"Jan 22, 2021","14,020.0","13,995.0","14,063.5","13,995.0","0.29%"
"Jan 21, 2021","13,980.0","14,022.5","14,035.0","13,995.0","-0.29%"
"Jan 20, 2021","14,020.0","14,065.0","14,067.5","14,030.0","-0.21%"
"Jan 19, 2021","14,050.0","14,080.0","14,099.5","14,055.0","-0.07%"
"Jan 18, 2021","14,060.0","14,025.0","14,105.0","14,025.0","0.36%"
"Jan 15, 2021","14,010.0","14,040.0","14,062.5","14,012.5","-0.28%"
"Jan 14, 2021","14,050.0","14,075.0","14,109.0","14,055.0","-0.04%"
"Jan 13, 2021","14,055.0","14,090.0","14,117.5","14,057.5","-0.46%"
"Jan 12, 2021","14,120.0","14,120.0","14,217.5","14,115.0","0.28%"
"Jan 11, 2021","14,080.0","14,020.0","14,165.0","14,020.0","0.72%"
"Jan 08, 2021","13,980.0","13,915.0","14,061.5","13,915.0","0.65%"
"Jan 07, 2021","13,890.0","13,900.0","13,945.0","13,900.0","0.07%"
"Jan 06, 2021","13,880.0","13,920.0","13,930.0","13,895.0","-0.14%"
"Jan 05, 2021","13,900.0","13,900.0","13,932.5","13,900.0","0.11%"
"Jan 04, 2021","13,885.0","13,910.0","13,940.0","13,862.5","-2.31%"
"Jan 01, 2021","14,213.7","14,213.5","14,214.2","13,919.0","1.17%"
"Dec 30, 2020","14,050.0","14,120.0","14,120.0","14,050.0","-0.43%"
"Dec 29, 2020","14,110.0","14,150.0","14,160.0","14,130.0","-0.21%"
"Dec 28, 2020","14,140.0","14,155.0","14,177.5","14,150.0","-0.07%"
"Dec 23, 2020","14,150.0","14,155.0","14,274.0","14,155.0","0.04%"
"Dec 22, 2020","14,145.0","14,140.0","14,212.5","14,140.0","0.32%"
"Dec 21, 2020","14,100.0","14,110.0","14,175.0","14,110.0","0.14%"
"Dec 18, 2020","14,080.0","14,102.5","14,147.5","14,100.0","-0.04%"
"Dec 17, 2020","14,085.0","14,125.0","14,137.5","14,105.0","-0.04%"
"Dec 16, 2020","14,090.0","14,110.0","14,158.0","14,110.0","0.00%"
"Dec 15, 2020","14,090.0","14,105.0","14,173.5","14,105.0","0.14%"
"Dec 14, 2020","14,070.0","14,100.0","14,155.0","14,095.0","0.00%"
"Dec 11, 2020","14,070.0","14,100.0","14,119.0","14,079.5","-0.14%"
"Dec 10, 2020","14,090.0","14,095.0","14,120.0","14,095.0","0.07%"
"Dec 08, 2020","14,080.0","14,110.0","14,150.0","14,110.0","0.00%"
"Dec 07, 2020","14,080.0","14,110.0","14,135.0","14,101.0","-0.04%"
"Dec 04, 2020","14,085.0","14,135.0","14,162.5","14,102.5","-0.11%"
"Dec 03, 2020","14,100.0","14,120.0","14,179.0","14,120.0","0.07%"
"Dec 02, 2020","14,090.0","14,120.0","14,156.0","14,120.0","-0.07%"
"Dec 01, 2020","14,100.0","14,117.5","14,182.5","14,117.5","0.07%"
"Nov 30, 2020","14,090.0","14,070.0","14,150.0","14,070.0","0.14%"
"Nov 27, 2020","14,070.0","14,105.0","14,136.5","14,090.0","-0.14%"
"Nov 26, 2020","14,090.0","14,125.0","14,137.5","14,100.0","-0.28%"
"Nov 25, 2020","14,130.0","14,145.0","14,177.5","14,140.0","-0.07%"
"Nov 24, 2020","14,140.0","14,150.0","14,194.5","14,150.0","0.07%"
"Nov 23, 2020","14,130.0","14,162.5","14,175.0","14,142.5","-0.14%"
"Nov 20, 2020","14,150.0","14,160.0","14,210.5","14,160.0","0.07%"
"Nov 19, 2020","14,140.0","14,055.0","14,195.0","14,055.0","0.64%"
"Nov 18, 2020","14,050.0","14,055.0","14,102.5","14,055.0","0.14%"
"Nov 17, 2020","14,030.0","14,030.0","14,077.5","14,027.5","-0.50%"
"Nov 16, 2020","14,100.0","14,120.0","14,147.5","14,107.5","-0.35%"
"Nov 13, 2020","14,150.0","14,150.0","14,232.5","14,150.0","0.07%"
"Nov 12, 2020","14,140.0","14,080.0","14,207.5","14,080.0","0.50%"
"Nov 11, 2020","14,070.0","14,055.0","14,102.5","14,055.0","0.21%"
"Nov 10, 2020","14,040.0","14,050.0","14,082.5","13,992.5","-0.07%"
"Nov 09, 2020","14,050.0","14,170.0","14,180.0","14,042.5","-0.99%"
"Nov 06, 2020","14,190.0","14,255.0","14,302.5","14,200.0","-1.25%"
"Nov 05, 2020","14,370.0","14,385.0","14,440.0","14,370.0","-1.17%"
"Nov 04, 2020","14,540.0","14,515.0","14,567.5","14,512.5","-0.21%"
"Nov 03, 2020","14,570.0","14,612.5","14,635.0","14,584.0","-0.38%"
"Nov 02, 2020","14,625.0","14,650.0","14,717.5","14,637.5","0.03%"
"Oct 27, 2020","14,620.0","14,650.0","14,680.0","14,620.0","-0.07%"
"Oct 26, 2020","14,630.0","14,635.0","14,675.0","14,632.5","-0.14%"
"Oct 23, 2020","14,650.0","14,660.0","14,722.5","14,650.0","0.07%"
"Oct 22, 2020","14,640.0","14,615.0","14,690.0","14,615.0","0.21%"
"Oct 21, 2020","14,610.0","14,635.0","14,667.5","14,615.0","-0.27%"
"Oct 20, 2020","14,650.0","14,672.5","14,718.0","14,655.0","-0.14%"
"Oct 19, 2020","14,670.0","14,670.0","14,742.5","14,670.0","0.00%"
"Oct 16, 2020","14,670.0","14,710.0","14,757.5","14,687.5","0.07%"
"Oct 15, 2020","14,660.0","14,685.0","14,741.0","14,680.0","-0.14%"
"Oct 14, 2020","14,680.0","14,710.0","14,765.0","14,705.0","0.00%"
"Oct 13, 2020","14,680.0","14,695.0","14,767.5","14,695.0","0.00%"
"Oct 12, 2020","14,680.0","14,685.0","14,732.5","14,685.0","0.03%"
"Oct 09, 2020","14,675.0","14,695.0","14,727.5","14,665.0","-0.07%"
"Oct 08, 2020","14,685.0","14,700.0","14,733.0","14,697.5","-0.03%"
"Oct 07, 2020","14,690.0","14,710.0","14,772.5","14,702.5","-0.14%"
"Oct 06, 2020","14,710.0","14,605.0","14,762.5","14,605.0","-0.54%"
"Oct 05, 2020","14,790.0","14,815.0","14,857.5","14,799.5","-0.27%"
"Oct 02, 2020","14,830.0","14,840.0","14,907.0","14,840.0","0.07%"
"Oct 01, 2020","14,820.0","14,810.0","14,867.5","14,810.0","-0.13%"
"Sep 30, 2020","14,840.0","14,857.5","14,922.0","14,857.5","-0.03%"
"Sep 29, 2020","14,845.0","14,875.0","14,940.5","14,867.5","-0.03%"
"Sep 28, 2020","14,850.0","14,867.5","14,949.5","14,867.5","0.03%"
"Sep 25, 2020","14,845.0","14,887.5","14,952.5","14,862.5","0.00%"
"Sep 24, 2020","14,845.0","14,815.0","14,910.0","14,815.0","0.44%"
"Sep 23, 2020","14,780.0","14,775.0","14,854.0","14,755.0","0.20%"
"Sep 22, 2020","14,750.0","14,695.0","14,824.5","14,695.0","0.41%"
"Sep 21, 2020","14,690.0","14,670.0","14,727.5","14,664.0","-0.27%"
"Sep 18, 2020","14,730.0","14,755.0","14,780.0","14,713.0","-0.61%"
"Sep 17, 2020","14,820.0","14,795.0","14,872.0","14,795.0","-0.03%"
"Sep 16, 2020","14,825.0","14,790.0","14,877.5","14,790.0","-0.07%"
"Sep 15, 2020","14,835.0","14,805.0","14,875.0","14,802.0","-0.17%"
"Sep 14, 2020","14,860.0","14,855.0","14,955.0","14,855.0","0.00%"
"Sep 11, 2020","14,860.0","14,900.0","14,974.0","14,877.5","0.27%"
"Sep 10, 2020","14,820.0","14,770.0","14,895.0","14,765.0","0.27%"
"Sep 09, 2020","14,780.0","14,765.0","14,860.0","14,765.0","0.14%"
"Sep 08, 2020","14,760.0","14,720.0","14,802.5","14,720.0","0.20%"
"Sep 07, 2020","14,730.0","14,705.0","14,757.5","14,705.0","-0.07%"
"Sep 04, 2020","14,740.0","14,735.0","14,802.5","14,705.0","-0.14%"
"Sep 03, 2020","14,760.0","14,755.0","14,835.0","14,755.0","0.14%"
"Sep 02, 2020","14,740.0","14,605.0","14,820.0","14,605.0","1.20%"
"Sep 01, 2020","14,565.0","14,535.0","14,620.0","14,535.0","0.03%"
"Aug 31, 2020","14,560.0","14,505.0","14,567.5","14,505.0","-0.38%"
"Aug 28, 2020","14,615.0","14,655.0","14,716.5","14,614.5","-0.24%"
"Aug 27, 2020","14,650.0","14,605.0","14,727.5","14,605.0","-0.14%"
"Aug 26, 2020","14,670.0","14,585.0","14,695.0","14,585.0","0.20%"
"Aug 25, 2020","14,640.0","14,600.0","14,660.0","14,575.0","-0.20%"
"Aug 24, 2020","14,670.0","14,755.0","14,802.5","14,670.5","-0.68%"
"Aug 19, 2020","14,770.0","14,750.0","14,807.5","14,735.0","-0.40%"
"Aug 18, 2020","14,830.0","14,750.0","14,881.0","14,750.0","0.75%"
"Aug 14, 2020","14,720.0","14,775.0","14,844.0","14,775.0","0.14%"
"Aug 13, 2020","14,700.0","14,742.5","14,795.0","14,725.0","0.10%"
"Aug 12, 2020","14,685.0","14,640.0","14,770.0","14,640.0","0.44%"
"Aug 11, 2020","14,620.0","14,580.0","14,720.0","14,580.0","0.21%"
"Aug 10, 2020","14,590.0","14,600.0","14,700.0","14,600.0","0.07%"
"Aug 07, 2020","14,580.0","14,555.0","14,675.0","14,555.0","-0.03%"
"Aug 06, 2020","14,585.0","14,490.0","14,615.0","14,465.0","0.24%"
"Aug 05, 2020","14,550.0","14,540.0","14,612.5","14,520.0","-0.48%"
"Aug 04, 2020","14,620.0","14,565.0","14,675.0","14,560.0","-0.07%"
"Aug 03, 2020","14,630.0","14,605.0","14,647.5","14,595.0","0.21%"
"Jul 30, 2020","14,600.0","14,455.0","14,620.0","14,455.0","0.45%"
"Jul 29, 2020","14,535.0","14,455.0","14,595.0","14,454.5","0.00%"
"Jul 28, 2020","14,535.0","14,460.0","14,561.0","14,445.0","0.10%"
"Jul 27, 2020","14,520.0","14,505.0","14,580.0","14,480.0","-0.62%"
"Jul 24, 2020","14,610.0","14,525.0","14,615.0","14,505.0","0.21%"
"Jul 23, 2020","14,580.0","14,605.0","14,670.0","14,532.5","-0.48%"
"Jul 22, 2020","14,650.0","14,605.0","14,680.0","14,605.0","-0.60%"
"Jul 21, 2020","14,738.5","14,755.0","14,780.0","14,725.0","-0.31%"
"Jul 20, 2020","14,785.0","14,695.0","14,860.0","14,692.5","0.61%"
"Jul 17, 2020","14,695.0","14,585.0","14,730.0","14,570.0","0.48%"
"Jul 16, 2020","14,625.0","14,560.0","14,687.5","14,535.0","0.26%"
"Jul 15, 2020","14,587.5","14,450.0","14,625.0","14,450.0","0.95%"
"Jul 14, 2020","14,450.0","14,355.0","14,450.0","14,352.0","0.17%"
"Jul 13, 2020","14,425.0","14,370.0","14,501.0","14,365.0","-0.07%"
"Jul 10, 2020","14,435.0","14,397.5","14,490.0","14,397.5","0.28%"
"Jul 09, 2020","14,395.0","14,355.0","14,430.0","14,342.5","-0.10%"
"Jul 08, 2020","14,410.0","14,395.0","14,450.0","14,375.0","-0.21%"
"Jul 07, 2020","14,440.0","14,450.0","14,450.0","14,374.0","-0.35%"
"Jul 06, 2020","14,490.0","14,465.0","14,582.5","14,455.0","-0.14%"
"Jul 03, 2020","14,510.0","14,380.0","14,605.0","14,380.0","0.91%"
"Jul 02, 2020","14,378.5","14,265.0","14,383.0","14,265.0","0.80%"
"Jul 01, 2020","14,265.0","14,245.0","14,325.0","14,245.0","0.07%"
"Jun 30, 2020","14,255.0","14,175.0","14,315.0","14,165.0","0.07%"
"Jun 29, 2020","14,245.0","14,225.0","14,275.0","14,225.0","0.18%"
"Jun 26, 2020","14,220.0","14,105.0","14,250.0","14,100.0","0.32%"
"Jun 25, 2020","14,175.0","14,085.0","14,195.0","14,079.5","0.32%"
"Jun 24, 2020","14,130.0","14,110.0","14,175.0","14,099.5","-0.21%"
"Jun 23, 2020","14,160.0","14,185.0","14,255.0","14,160.0","-0.18%"
"Jun 22, 2020","14,185.0","14,100.0","14,185.0","14,100.0","0.60%"
"Jun 19, 2020","14,100.0","14,055.0","14,202.5","14,055.0","0.11%"
"Jun 18, 2020","14,085.0","14,030.0","14,105.0","14,005.0","0.02%"
"Jun 17, 2020","14,082.5","14,065.0","14,130.0","14,034.5","-0.05%"
"Jun 16, 2020","14,090.0","14,085.0","14,130.0","14,047.5","-0.18%"
"Jun 15, 2020","14,115.0","14,055.0","14,145.0","14,040.0","-0.07%"
"Jun 12, 2020","14,125.0","14,060.0","14,223.5","14,060.0","0.78%"
"Jun 11, 2020","14,015.0","13,925.0","14,060.0","13,887.5","0.25%"
"Jun 10, 2020","13,980.0","13,937.5","14,055.0","13,897.5","0.65%"
"Jun 09, 2020","13,890.0","13,910.0","14,045.0","13,880.0","0.04%"
"Jun 08, 2020","13,885.0","13,870.0","13,995.0","13,850.0","0.11%"
"Jun 05, 2020","13,870.0","14,075.0","14,107.5","13,862.5","-1.60%"
"Jun 04, 2020","14,095.0","14,105.0","14,170.0","14,070.0","0.00%"
"Jun 03, 2020","14,095.0","14,245.0","14,255.0","14,095.0","-2.22%"
"Jun 02, 2020","14,415.0","14,630.0","14,630.0","14,415.0","-1.33%"
"May 29, 2020","14,610.0","14,725.0","14,745.0","14,607.5","-0.71%"
"May 28, 2020","14,715.0","14,740.0","14,777.5","14,710.0","0.03%"
"May 27, 2020","14,710.0","14,740.0","14,780.0","14,707.5","-0.30%"
"May 26, 2020","14,755.0","14,730.0","14,779.5","14,727.5","0.31%"
"May 20, 2020","14,710.0","14,755.0","14,792.5","14,705.0","-0.41%"
"May 19, 2020","14,770.0","14,805.0","14,845.0","14,755.0","-0.54%"
"May 18, 2020","14,850.0","14,855.0","14,895.0","14,835.0","-0.07%"
"May 15, 2020","14,860.0","14,875.0","14,925.0","14,857.5","-0.17%"
"May 14, 2020","14,885.0","14,892.5","14,962.5","14,867.5","0.13%"
"May 13, 2020","14,865.0","14,885.0","14,907.5","14,852.5","-0.27%"
"May 12, 2020","14,905.0","14,930.0","14,986.0","14,902.0","0.07%"
"May 11, 2020","14,895.0","14,945.0","14,962.5","14,885.0","-0.17%"
"May 08, 2020","14,920.0","15,025.0","15,052.5","14,908.0","-0.83%"